point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_max_track_v,vout_min_track_v,headroom_hi_v,headroom_lo_v,swing_span_v,vout_clip_high_v,vout_clip_low_v,vos_crossing_v,vos_offset_record_v,vos_delta_v,peak_inc_gain_v_v,av0_ac_record_db,av0_ratio,ivdd_center_a,ivdd_ac_record_a,ivdd_ratio
mos_tt_-40C_1.08V,mos_tt,-40,1.08,0.54,1,0.827233003,0.142816402,0.252766997,0.142816402,0.684416601,1.0018903,1.23143061e-08,0.0151576577,0.0151576578,1.37668823e-10,149.4068,42.9518,1.06360498,0.000112650922,0.000111765,1.00792665
mos_tt_-40C_1.20V,mos_tt,-40,1.20,0.6,1,0.938114882,0.148060311,0.261885118,0.148060311,0.790054571,1.12884347,1.48087333e-08,0.0135106262,0.0135106262,1.43931516e-11,172.1131,43.3075,1.17608558,0.000116373894,0.000115741,1.00546819
mos_tt_-40C_1.32V,mos_tt,-40,1.32,0.66,1,1.04993289,0.153105348,0.27006711,0.153105348,0.896827542,1.25318789,1.83820933e-08,0.0125021618,0.0125021618,2.50274974e-12,196.1338,44.1047,1.22269305,0.000119370357,0.000118823,1.00460649
mos_tt_27C_1.08V,mos_tt,27,1.08,0.54,1,0.807836868,0.167106358,0.272163132,0.167106358,0.64073051,0.98755341,3.43874621e-08,0.0174349572,0.0174349573,5.12900347e-11,121.59,41.1429,1.06598933,0.000107293215,0.000106472,1.00771297
mos_tt_27C_1.20V,mos_tt,27,1.20,0.6,1,0.91881399,0.173082167,0.28118601,0.173082167,0.745731823,1.116203,4.28415994e-08,0.0157152475,0.0157152476,1.3425467e-10,140.8559,41.9502,1.12529151,0.000110328526,0.0001097,1.0057295
mos_tt_27C_1.32V,mos_tt,27,1.32,0.66,1,1.02987976,0.178631946,0.29012024,0.178631946,0.851247814,1.24198283,6.18583434e-08,0.0144555539,0.0144555539,3.59130694e-11,161.6588,42.9937,1.14528705,0.00011295246,0.000112406,1.00486148
mos_tt_125C_1.08V,mos_tt,125,1.08,0.54,1,0.7789372,0.205337164,0.3010628,0.205337164,0.573600036,0.966886451,7.16231982e-06,0.0205745761,0.0205745761,1.40876061e-11,92.7266,38.9343,1.04830905,0.000101559201,0.00010081,1.00743181
mos_tt_125C_1.20V,mos_tt,125,1.20,0.6,1,0.891496257,0.214250729,0.308503743,0.214250729,0.677245528,1.09840279,7.65703873e-06,0.0185293371,0.0185293372,9.92234107e-11,110.9993,40.2618,1.07703605,0.000103968946,0.00010336,1.00589151
mos_tt_125C_1.32V,mos_tt,125,1.32,0.66,1,1.00296085,0.221751717,0.31703915,0.221751717,0.781209133,1.22640161,8.21194895e-06,0.016944244,0.0169442441,7.78256869e-11,129.2447,41.4882,1.08893697,0.000106136891,0.000105612,1.00496999
mos_ss_-40C_1.08V,mos_ss,-40,1.08,0.54,1,0.826989164,0.144058297,0.253010836,0.144058297,0.682930867,1.00040091,3.70926882e-09,0.0158972014,0.0158972015,1.44118981e-10,167.2286,44.3232,1.01660105,0.000111673795,0.00011059,1.00980012
