point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,clgain_100hz,clgain_1mhz,vni_int_vrms,vni_int_crosscheck_ratio,vni_100hz_v_rthz,vni_1khz_v_rthz,vni_10khz_v_rthz,vni_100khz_v_rthz,vni_1mhz_v_rthz,flicker_coeff_v2,thermal_floor_v_rthz,flicker_corner_hz,flicker_frac_of_msq
mos_tt_-40C_1.08V,mos_tt,-40,1.08,0.54,1,0.524893,0.521811,0.322482,0.0676477,0.416365,0.000111765,1.00143,1.00054,7.85085E-05,1.00103,2.50089e-06,7.91078e-07,2.50879e-07,8.1573e-08,3.21484e-08,6.25247e-10,2.01232e-08,1.54404e+06,0.934308
mos_tt_-40C_1.20V,mos_tt,-40,1.20,0.6,1,0.586646,0.624877,0.4391,0.120022,0.416365,0.000115741,0.982972,0.982661,7.72241E-05,1.00104,2.46776e-06,7.80579e-07,2.47481e-07,8.02616e-08,3.11055e-08,6.08825e-10,1.8873e-08,1.70927e+06,0.940279
mos_tt_-40C_1.32V,mos_tt,-40,1.32,0.66,1,0.647645,0.738431,0.555922,0.176119,0.416365,0.000118823,0.981703,0.981556,7.55027E-05,1.00104,2.41355e-06,7.63427e-07,2.42037e-07,7.84755e-08,3.03569e-08,5.82375e-10,1.83549e-08,1.72862e+06,0.940908
mos_tt_27C_1.08V,mos_tt,27,1.08,0.54,1,0.52274,0.520249,0.329542,0.100839,0.38896,0.000106472,0.989391,0.988842,8.92841E-05,1.00103,2.84582e-06,9.00182e-07,2.85464e-07,9.2773e-08,3.64571e-08,8.09609e-10,2.26945e-08,1.57193e+06,0.935398
mos_tt_27C_1.20V,mos_tt,27,1.20,0.6,1,0.584517,0.627734,0.446078,0.155621,0.38896,0.0001097,0.977903,0.977759,8.7293E-05,1.00104,2.78673e-06,8.81477e-07,2.79495e-07,9.07178e-08,3.53527e-08,7.76359e-10,2.16734e-08,1.65276e+06,0.938363
mos_tt_27C_1.32V,mos_tt,27,1.32,0.66,1,0.645751,0.741299,0.562809,0.212433,0.38896,0.000112406,0.97775,0.977776,8.4968E-05,1.00104,2.71279e-06,8.58089e-07,2.72077e-07,8.83033e-08,3.43888e-08,7.35718e-10,2.10603e-08,1.65875e+06,0.938572
mos_tt_125C_1.08V,mos_tt,125,1.08,0.54,1,0.519817,0.539019,0.361891,0.157937,0.345256,0.00010081,0.973856,0.97354,0.000106622,1.00103,3.39659e-06,1.0744e-06,3.4073e-07,1.10783e-07,4.36629e-08,1.15329e-09,2.73179e-08,1.54541e+06,0.934363
mos_tt_125C_1.20V,mos_tt,125,1.20,0.6,1,0.581823,0.649466,0.478411,0.214627,0.345256,0.00010336,0.971288,0.971314,0.000103681,1.00103,3.30535e-06,1.04554e-06,3.31554e-07,1.07735e-07,4.22955e-08,1.09218e-09,2.62814e-08,1.58125e+06,0.935754
mos_tt_125C_1.32V,mos_tt,125,1.32,0.66,1,0.643354,0.763174,0.595129,0.272288,0.345256,0.000105612,0.972779,0.973003,0.00010066,1.00104,3.20888e-06,1.01502e-06,3.21879e-07,1.04597e-07,4.10697e-08,1.02938e-09,2.55326e-08,1.579e+06,0.935669
mos_ss_-40C_1.08V,mos_ss,-40,1.08,0.54,1,0.523997,0.516238,0.27225,0.0320171,0.465627,0.00011059,1.01991,1.01657,7.9916E-05,1.00098,2.51778e-06,7.96497e-07,2.52839e-07,8.29503e-08,3.45083e-08,6.33598e-10,2.34691e-08,1.15032e+06,0.913763
mos_ss_-40C_1.20V,mos_ss,-40,1.20,0.6,1,0.58706,0.593222,0.388812,0.074807,0.465627,0.000116044,0.996428,0.995879,7.74683E-05,1.00103,2.47361e-06,7.82433e-07,2.48086e-07,8.05089e-08,3.13366e-08,6.11701e-10,1.91696e-08,1.66461e+06,0.938775
mos_ss_-40C_1.32V,mos_ss,-40,1.32,0.66,1,0.648348,0.699492,0.505657,0.128283,0.465627,0.000119655,0.984746,0.984565,7.63066E-05,1.00104,2.44192e-06,7.72395e-07,2.44857e-07,7.93178e-08,3.05036e-08,5.96151e-10,1.82226e-08,1.79529e+06,0.942977
mos_ss_27C_1.08V,mos_ss,27,1.08,0.54,1,0.521838,0.502861,0.277473,0.0580756,0.438845,0.000105395,1.01192,1.01022,8.99539E-05,1.00101,2.85193e-06,9.02155e-07,2.86221e-07,9.34219e-08,3.77255e-08,8.13002e-10,2.45712e-08,1.3466e+06,0.925395
mos_ss_27C_1.20V,mos_ss,27,1.20,0.6,1,0.584796,0.592136,0.393926,0.1066,0.438845,0.000109687,0.987901,0.987601,8.77557E-05,1.00103,2.80098e-06,8.85987e-07,2.80929e-07,9.11957e-08,3.55787e-08,7.84307e-10,2.18521e-08,1.64248e+06,0.938001
mos_ss_27C_1.32V,mos_ss,27,1.32,0.66,1,0.646242,0.701043,0.510655,0.161711,0.438845,0.000112698,0.980376,0.980368,8.57984E-05,1.00104,2.74167e-06,8.67217e-07,2.74951e-07,8.91718e-08,3.45716e-08,7.51463e-10,2.09839e-08,1.70662e+06,0.940192
mos_ss_125C_1.08V,mos_ss,125,1.08,0.54,1,0.519078,0.508919,0.307583,0.109045,0.395788,9.98521E-05,0.99154,0.990742,0.000106896,1.00102,3.3991e-06,1.07521e-06,3.4104e-07,1.11047e-07,4.41901e-08,1.15494e-09,2.81e-08,1.46266e+06,0.930906
mos_ss_125C_1.20V,mos_ss,125,1.20,0.6,1,0.581861,0.609818,0.42401,0.162492,0.395788,0.000102937,0.977733,0.977674,0.000104253,1.00104,3.32425e-06,1.05151e-06,3.33443e-07,1.0833e-07,4.2493e-08,1.10469e-09,2.63538e-08,1.59058e+06,0.936107
mos_ss_125C_1.32V,mos_ss,125,1.32,0.66,1,0.643545,0.72075,0.540689,0.219058,0.395788,0.000105347,0.974896,0.975104,0.000101441,1.00104,3.23604e-06,1.02361e-06,3.24581e-07,1.05413e-07,4.1246e-08,1.04687e-09,2.54696e-08,1.61378e+06,0.936968
mos_ff_-40C_1.08V,mos_ff,-40,1.08,0.54,1,0.526122,0.5544,0.376318,0.11195,0.368739,0.000111806,0.98457,0.984275,7.66174E-05,1.00104,2.44731e-06,7.74112e-07,2.45441e-07,7.96286e-08,3.09308e-08,5.98775e-10,1.88528e-08,1.68466e+06,0.939459
mos_ff_-40C_1.20V,mos_ff,-40,1.20,0.6,1,0.587154,0.667411,0.492996,0.16793,0.368739,0.000115032,0.981212,0.981094,7.5076E-05,1.00104,2.39923e-06,7.58902e-07,2.40608e-07,7.80305e-08,3.02291e-08,5.75489e-10,1.83324e-08,1.71238e+06,0.940381
mos_ff_-40C_1.32V,mos_ff,-40,1.32,0.66,1,0.648044,0.78222,0.60983,0.224565,0.368739,0.000118012,0.98208,0.982073,7.33562E-05,1.00104,2.34434e-06,7.41539e-07,2.35103e-07,7.6244e-08,2.95302e-08,5.49462e-10,1.79034e-08,1.71422e+06,0.940441
mos_ff_27C_1.08V,mos_ff,27,1.08,0.54,1,0.523986,0.558578,0.384829,0.147456,0.341318,0.000106637,0.978435,0.978294,8.70961E-05,1.00103,2.77963e-06,8.79235e-07,2.78792e-07,9.05117e-08,3.53239e-08,7.72415e-10,2.1719e-08,1.63746e+06,0.937823
mos_ff_27C_1.20V,mos_ff,27,1.20,0.6,1,0.585237,0.671846,0.501444,0.204243,0.341318,0.000109456,0.97705,0.977087,8.49391E-05,1.00104,2.71142e-06,8.57658e-07,2.71945e-07,8.82728e-08,3.44044e-08,7.34981e-10,2.11049e-08,1.6501e+06,0.93827
mos_ff_27C_1.32V,mos_ff,27,1.32,0.66,1,0.646345,0.786506,0.61822,0.261497,0.341318,0.000112079,0.978393,0.978554,8.26782E-05,1.00104,2.63896e-06,8.34738e-07,2.6468e-07,8.59232e-08,3.35052e-08,6.96227e-10,2.05766e-08,1.64439e+06,0.938069
mos_ff_125C_1.08V,mos_ff,125,1.08,0.54,1,0.521204,0.582242,0.41882,0.206157,0.297521,0.000101293,0.968952,0.96894,0.000103957,1.00104,3.31298e-06,1.04795e-06,3.32331e-07,1.08021e-07,4.24805e-08,1.09724e-09,2.64856e-08,1.56417e+06,0.935099
mos_ff_125C_1.20V,mos_ff,125,1.20,0.6,1,0.582813,0.695818,0.535444,0.26389,0.297521,0.00010364,0.971301,0.971499,0.000100988,1.00103,3.21874e-06,1.01814e-06,3.22874e-07,1.04937e-07,4.12372e-08,1.03572e-09,2.56808e-08,1.57045e+06,0.935341
mos_ff_125C_1.32V,mos_ff,125,1.32,0.66,1,0.644187,0.810513,0.652241,0.321914,0.297521,0.000105824,0.973759,0.974109,9.80847E-05,1.00104,3.12558e-06,9.88677e-07,3.13536e-07,1.0192e-07,4.00899e-08,9.76642e-10,2.50146e-08,1.5608e+06,0.934968
mos_sf_-40C_1.08V,mos_sf,-40,1.08,0.54,1,0.525604,0.562576,0.347276,0.0506921,0.440982,0.000111494,1.00847,1.00711,7.65575E-05,1.00101,2.42627e-06,7.6751e-07,2.43513e-07,7.95101e-08,3.2153e-08,5.88453e-10,2.10061e-08,1.33358e+06,0.924721
mos_sf_-40C_1.20V,mos_sf,-40,1.20,0.6,1,0.587706,0.656243,0.463879,0.0994322,0.440982,0.000116085,0.987615,0.987308,7.52175E-05,1.00103,2.39975e-06,7.59076e-07,2.40698e-07,7.81654e-08,3.0554e-08,5.75718e-10,1.88474e-08,1.62071e+06,0.937221
