point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,av0_db,acm0_db,acm_1khz_db,cmrr_db,cmrr_1khz_db,cmrr_plateau_delta_db,avs0_db,avs_1khz_db,psrr_db,psrr_1khz_db,psrr_plateau_delta_db,op_xcheck_psrr_delta_v,ol_vout_dc_v,ol_vout_delta_v
mos_tt_-40C_1.08V,mos_tt,-40,1.08,0.54,1,0.524893,0.521811,0.322482,0.0676477,0.416365,0.000111765,42.9518,1.6825,1.6817,41.2693,41.2701,0,26.4756,37.3547,16.4762,5.5971,0.0014613,0,0.524893,0
mos_tt_-40C_1.20V,mos_tt,-40,1.20,0.6,1,0.586646,0.624877,0.4391,0.120022,0.416365,0.000115741,43.3075,5.74974,5.74895,37.5578,37.5585,0,35.0794,41.1806,8.2281,2.1269,0.0009111,0,0.586646,0
mos_tt_-40C_1.32V,mos_tt,-40,1.32,0.66,1,0.647645,0.738431,0.555922,0.176119,0.416365,0.000118823,44.1047,8.20898,8.20809,35.8957,35.8966,0,37.9427,42.6847,6.162,1.42,0.0008619,0,0.647645,0
mos_tt_27C_1.08V,mos_tt,27,1.08,0.54,1,0.52274,0.520249,0.329542,0.100839,0.38896,0.000106472,41.1429,-10.2873,-10.2879,51.4302,51.4308,0,29.7694,36.8132,11.3735,4.3297,0.0008806,0,0.52274,0
mos_tt_27C_1.20V,mos_tt,27,1.20,0.6,1,0.584517,0.627734,0.446078,0.155621,0.38896,0.0001097,41.9502,6.63016,6.62954,35.32,35.3207,0,35.5167,39.6523,6.4335,2.2979,0.0006117,0,0.584517,0
mos_tt_27C_1.32V,mos_tt,27,1.32,0.66,1,0.645751,0.741299,0.562809,0.212433,0.38896,0.000112406,42.9937,8.31735,8.31663,34.6763,34.6771,0,38.2646,41.0892,4.7291,1.9045,0.0004782,0,0.645751,0
mos_tt_125C_1.08V,mos_tt,125,1.08,0.54,1,0.519817,0.539019,0.361891,0.157937,0.345256,0.00010081,38.9343,3.59122,3.59079,35.3431,35.3435,0,31.9604,35.4336,6.9739,3.5007,0.0002662,0,0.519817,0
mos_tt_125C_1.20V,mos_tt,125,1.20,0.6,1,0.581823,0.649466,0.478411,0.214627,0.345256,0.00010336,40.2618,7.08969,7.08917,33.1721,33.1726,0,36.0035,37.7365,4.2583,2.5253,0.000155,0,0.581823,0
mos_tt_125C_1.32V,mos_tt,125,1.32,0.66,1,0.643354,0.763174,0.595129,0.272288,0.345256,0.000105612,41.4882,8.1699,8.16928,33.3183,33.3189,0,38.4899,39.2102,2.9983,2.278,0.0001002,0,0.643354,0
mos_ss_-40C_1.08V,mos_ss,-40,1.08,0.54,1,0.523997,0.516238,0.27225,0.0320171,0.465627,0.00011059,44.3232,12.6567,12.6549,31.6665,31.6683,0,14.7784,35.2669,29.5448,9.0563,0.0660786,0,0.523997,0
